timestamp,open,high,low,close,volume
2026-07-12,63819.01,64290.11,63640.83,63780.0,13914.83703
2026-07-13,63780.0,64425.0,61824.97,62334.52,21682.50204
2026-07-14,62334.52,65100.0,62272.2,65043.98,20552.41384
2026-07-15,65043.99,65600.0,64485.0,64756.28,18401.89741
2026-07-16,64756.28,64997.52,63748.74,63830.2,18764.52679
2026-07-17,63830.2,64387.99,62537.56,63931.67,18189.89389
2026-07-18,63931.67,64865.0,63886.65,64834.22,8031.18012
2026-07-19,64834.21,64967.25,64280.0,64722.54,8379.91474
2026-07-20,64722.55,65799.0,63100.0,65255.51,21323.48702
2026-07-21,65255.51,66956.15,65148.75,66556.16,18618.28087
2026-07-22,66556.15,66739.89,65553.67,66114.49,18074.86602
2026-07-23,66114.5,66313.14,64722.88,64776.84,11039.81665
